0:0:0:0:0:0:0:1 - - [20/Jan/2016:21:12:18 -0600] "PROPFIND /C$/Users/Hernandez%20Orlando HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [20/Jan/2016:21:12:18 -0600] "PROPFIND /C$/Users HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [20/Jan/2016:21:12:19 -0600] "PROPFIND /C$/Users/Hernandez%20Orlando/ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [20/Jan/2016:21:12:19 -0600] "PROPFIND /C$/Users HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [20/Jan/2016:21:12:19 -0600] "PROPFIND /C$/Users HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [20/Jan/2016:21:12:19 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [20/Jan/2016:21:12:19 -0600] "PROPFIND /C$/Users HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [20/Jan/2016:21:12:19 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [20/Jan/2016:21:12:19 -0600] "PROPFIND /C$/Users HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [20/Jan/2016:21:12:19 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [20/Jan/2016:21:12:19 -0600] "PROPFIND /C$/Users/ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [20/Jan/2016:21:12:19 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [20/Jan/2016:21:12:19 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [20/Jan/2016:21:12:19 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [20/Jan/2016:21:12:19 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [20/Jan/2016:21:12:20 -0600] "PROPFIND /C$/ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [20/Jan/2016:21:12:20 -0600] "PROPFIND /C$/Users/Hernandez%20Orlando/Desktop/Orlando/WebDev HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [20/Jan/2016:21:12:20 -0600] "PROPFIND /C$/Users/Hernandez%20Orlando/Desktop/Orlando HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [20/Jan/2016:21:12:20 -0600] "PROPFIND /C$/Users/Hernandez%20Orlando/Desktop/Orlando/WebDev/Week%203 HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [20/Jan/2016:21:12:20 -0600] "PROPFIND /C$/Users/Hernandez%20Orlando/Desktop/Orlando/WebDev HTTP/1.1" 501 1126
